ID,Name,Salary,Team,AGE,GP,W,L,MIN,PTS,FGM,FGA,FGPER,TPM,TPA,TPPER,FTM,FTA,FTPER,OREB,DREB,REB,AST,TOV,STL,BLK,PF,FP,DD2,TD3,PLUSMINUS,Position,Country,Draft Round,Draft Number,SGap
181,Alex Abrines,5725000,OKC,24,71,39,32,14.8,4.7,1.5,3.9,39.8,1.1,2.9,38.8,0.5,0.6,85.4,0.3,1.2,1.5,0.4,0.4,0.5,0.1,1.6,8.6,0,0,0.4,G,Spain,2,32,1
182,Jayson Tatum,5645400,BOS,20,75,52,23,30.6,13.7,4.9,10.3,47.6,1.3,3,42.9,2.6,3.2,82.4,0.6,4.5,5.1,1.5,1.4,0.9,0.8,2.1,25.8,4,0,4.6,F,USA,1,3,1
183,D'Angelo Russell,5562360,BKN,22,41,12,29,26.1,16,6,14.3,41.6,1.8,5.5,32.7,2.3,3.1,75,0.7,3.3,4,5.1,3,0.7,0.4,2,28.8,4,1,-4.2,G,USA,1,2,1
184,Brandon Ingram,5519400,LAL,20,59,27,32,33.5,16.1,6.1,12.9,47,0.7,1.8,39,3.3,4.8,68.1,1,4.4,5.3,3.9,2.5,0.8,0.7,2.8,30.3,6,0,-2.2,F,USA,1,2,1
185,Patrick Beverley,5513514,LAC,29,11,5,6,30.3,12.2,4.4,10.8,40.3,2.2,5.5,40,1.3,1.5,82.4,1.5,2.6,4.1,2.9,2.3,1.6,0.5,3.1,25.5,0,0,2.4,G,USA,2,42,1
186,Aaron Gordon,5504420,ORL,22,52,16,36,33.6,18.2,6.6,15.1,43.9,2,5.9,34.3,2.9,4.1,70.6,1.7,6.7,8.3,2.4,1.8,1,0.8,2,35.2,17,0,-1.7,F,USA,1,4,1
187,Josh Smith,5400000,NOP,32,3,2,1,3.9,0.7,0.3,1.3,25,0,0,0,0,0,0,1,0.3,1.3,0,0,0,0,1,2.3,0,0,-3.3,F,USA,1,17,1
188,Thabo Sefolosha,5250000,UTA,33,38,16,22,21.2,8.2,3.1,6.3,49.2,0.8,2.2,38.1,1.2,1.4,81.5,0.8,3.5,4.2,0.9,0.8,1.4,0.3,1.6,18.9,2,0,1.5,F,Switzerland,1,13,1
189,Jason Smith,5225000,WAS,32,30,14,16,8.6,3.4,1.3,3.5,38.5,0.1,1,13.8,0.6,0.6,89.5,0.6,1,1.6,0.5,0.5,0.1,0.4,1.4,6.9,0,0,-2,F,USA,1,20,1
190,Ben McLemore,5200000,MEM,25,50,6,44,18.2,6.9,2.6,6.2,41.8,0.9,2.7,35.3,0.8,1,81.6,0.6,1.7,2.3,0.9,1.1,0.7,0.3,2.5,12.8,0,0,-4.4,G,USA,1,7,1
